foodname,zprotein_sc,zcarb_sc,zfiber_sc,zca_sc,zfe_sc,zmg_sc,zp_sc,zk_sc,zna_sc,zzn_sc,zcu_sc,zvita_rae_sc,zbcaro_rae_sc,zvitd_sc,zvite_sc,zthiamin_sc,zribo_sc,zniacin_sc,zvitb6_sc,zfolate_sc,zvitb12_sc,zvitc_sc,zla_sc,zala_sc
Local rice,-0.249,2.137,0.167,-0.287,-0.118,0.08,0.041,-0.387,-0.574,0.158,0.153,-0.261,-0.178,-0.286,-0.466,-0.058,-0.562,-0.129,0.309,-0.267,-0.271,-0.355,-0.312,-0.567
Imported rice,-0.269,2.242,-0.217,-0.309,-0.411,-0.264,0.097,-0.73,-0.558,0.011,0.046,-0.261,-0.178,-0.286,-0.466,-0.383,-0.509,-0.284,-0.341,-0.34,-0.271,-0.355,-0.312,-0.567
Sorghum,0.094,1.955,0.416,-0.3,0.467,-0.166,-0.37,-0.518,-0.585,0.413,-0.617,-0.261,-0.178,-0.286,-0.463,0.267,-0.088,-0.151,-0.527,-0.075,-0.271,-0.355,-0.276,-0.493
White maize,0.023,1.622,1.952,-0.248,0.393,0.785,0.545,0.107,-0.511,0.737,0.259,-0.261,-0.178,-0.286,-0.384,1.025,-0.246,-0.173,0.774,0.395,-0.271,-0.298,-0.107,-0.345
Yellow maize,-0.007,1.722,1.477,-0.257,0.43,0.785,0.448,0.118,-0.468,0.575,0.338,-0.247,-0.161,-0.286,-0.384,0.538,-0.299,-0.262,0.727,0.395,-0.271,-0.27,-0.13,-0.419
Millet grain,-0.017,1.684,1.387,-0.248,4.744,0.9,1.231,0.165,-0.526,1.03,0.551,-0.261,-0.177,-0.286,-0.379,0.863,0.282,-0.018,0.774,1.468,-0.271,-0.355,-0.032,0.47
Millet flour,-0.219,2.102,0.393,-0.313,1.161,0.867,0.773,-0.029,-0.526,0.907,0.365,-0.261,-0.178,-0.286,-0.32,0.267,0.018,-0.24,0.634,0.106,-0.271,-0.355,-0.182,-0.049
Wheat flour,0.094,1.994,-0.013,-0.274,2.039,-0.346,-0.304,-0.643,-0.569,1.61,-0.378,-0.034,-0.178,-0.286,-0.443,5.251,2.127,1.356,1.238,6.648,-0.116,-0.355,-0.236,-0.271
Wheat semolina,0.255,1.726,2.11,-0.153,0.978,0.441,0.428,0.253,-0.563,0.583,0.073,-0.261,-0.177,-0.286,-0.417,1.296,-0.246,0.314,1.424,0.022,-0.271,-0.355,-0.206,-0.123
Corn dough,-0.582,0.172,-0.058,-0.335,0.247,-0.182,-0.416,-0.778,0.837,-0.36,-0.458,-0.261,-0.178,-0.286,-0.481,-0.112,-0.562,-0.616,-0.527,-0.291,-0.271,-0.355,-0.206,-0.493
Cerelac (baby food),0.86,1.389,-0.646,3.159,2.295,0.408,1.515,1.525,0.599,1.741,0.445,0.294,-0.178,2.365,1.003,2.38,3.762,0.093,0.727,0.046,-0.131,0.951,-0.244,-0.137
Rolled white oats,0.245,1.509,1.658,-0.114,0.796,1.834,1.683,0.275,-0.526,1.494,0.312,-0.261,-0.178,-0.286,-0.344,3.409,0.018,-0.129,-0.295,-0.063,-0.271,-0.355,0.122,0.025
Cassava paste,-0.854,0.696,-0.262,-0.261,-0.484,-0.362,-0.67,-0.288,-0.569,-0.529,-0.458,-0.261,-0.178,-0.286,-0.478,-0.492,-0.562,-0.638,-0.666,0.371,-0.178,0.412,-0.335,-0.567
White gari,-0.834,2.408,0.484,-0.166,-0.228,-0.297,-0.284,0.081,-0.579,-0.444,-0.378,-0.261,-0.178,-0.286,-0.472,0.484,-0.615,-0.638,-0.527,0.13,-0.116,-0.298,-0.328,-0.419
White bread,0.003,1.172,-0.081,-0.235,-0.447,-0.28,-0.274,-0.54,1.82,-0.29,-0.299,-0.261,-0.178,-0.286,-0.227,0.05,-0.404,-0.151,-0.573,-0.111,-0.265,-0.355,-0.242,-0.123
Wheat bread,0.164,0.653,0.8,0.051,-0.009,0.441,0.179,-0.189,1.725,0.243,-0.033,-0.261,-0.178,-0.286,-0.017,0.646,-0.404,0.381,-0.202,-0.087,-0.266,-0.355,-0.213,0.1
Biscuits,-0.33,1.711,-0.194,-0.058,-0.338,-0.411,-0.258,-0.613,1.471,-0.545,-0.378,-0.141,-0.171,-0.255,0.275,-0.112,-0.509,-0.35,-0.62,-0.316,-0.262,-0.327,-0.033,1.507
Instant noodles,0.326,1.432,0.009,-0.226,-0.447,-0.215,-0.162,-0.738,2.021,-0.568,-0.299,-0.261,-0.178,-0.286,0.245,0.971,1.178,-0.129,-0.295,-0.267,-0.116,-0.355,-0.048,-0.271
